IMO.Number,predicted.kg.CO2.per.nm,TEU.predicted.kg.CO2.per.nm
4903365,371.2289128,NA
4903389,371.2289128,NA
4904735,372.4399363,NA
4904761,371.2289128,NA
4906068,372.4399363,NA
4906147,372.4399363,NA
4906214,372.4399363,NA
4906379,135.3210948,NA
4906393,371.2289128,NA
4906410,138.5658186,NA
4906460,386.0321719,NA
4906484,119.2235377,NA
4906525,372.4399363,NA
4906551,567.0676778,NA
4906575,269.3939418,NA
4907751,602.9485576,NA
4907830,368.4304798,NA
4907842,370.5649998,NA
4907854,370.5649998,NA
4907919,408.6697582,NA
4907921,405.3615689,NA
4907933,405.3615689,NA
4907945,405.3615689,NA
4907957,411.5727384,NA
4907969,411.5727384,NA
4907971,413.1145461,NA
4907983,413.1145461,NA
4907995,413.1145461,NA
4908004,413.1145461,NA
4908016,413.1145461,NA
4908028,388.3636475,NA
4908030,413.1145461,NA
4908042,414.9951291,NA
4908054,414.9951291,NA
4908066,414.9951291,NA
4908078,414.9951291,NA
4908080,414.9951291,NA
4908092,414.9951291,NA
4908107,414.9951291,NA
4908119,414.9951291,NA
4908121,414.9951291,NA
4908133,425.008625,NA
4908145,428.0682202,NA
4908157,405.3615689,NA
4908169,405.3615689,NA
4908171,411.5727384,NA
4908183,413.1145461,NA
4908195,413.1145461,NA
4908200,414.9951291,NA
4908212,428.0682202,NA
4908224,449.7595236,NA
4908236,449.7595236,NA
4908248,449.7595236,NA
4908250,449.7595236,NA
4908262,449.7595236,NA
4908470,319.9610104,NA
4908535,449.2912223,NA
4908547,449.2912223,NA
4908559,623.3325424,NA
4908561,633.6406189,NA
4908585,381.2919872,NA
4908597,376.6743292,NA
4908602,349.2949422,NA
4908614,351.769504,NA
4908626,351.769504,NA
4908638,351.769504,NA
4908640,349.2949422,NA
4908652,351.769504,NA
4908664,349.8140297,NA
4908676,329.4954321,NA
4908688,351.9375224,NA
4908690,323.9979496,NA
4908705,342.6798109,NA
4908717,439.2130277,NA
4908729,364.7179292,NA
4908731,286.435202,NA
4908743,272.1572824,NA
4908755,328.8302354,NA
4908767,300.4488469,NA
4908779,293.647912,NA
4908781,329.4954321,NA
4908793,462.7790316,NA
4908808,462.7790316,NA
4908810,460.3172969,NA
4908822,462.7790316,NA
4908834,481.9344209,NA
4908846,462.7790316,NA
4908858,462.7790316,NA
4908860,481.9344209,NA
4908872,481.9344209,NA
4908884,481.9344209,NA
4908896,481.9344209,NA
4908901,481.9344209,NA
4908913,509.0074855,NA
4908925,509.0074855,NA
4908937,509.0074855,NA
4908975,396.3999965,NA
5000172,138.6566837,NA
5000201,137.3279053,NA
5000237,377.5557691,NA
5000859,376.3447456,NA
5000897,378.1781142,NA
5000988,377.5557691,NA
5000990,376.3447456,NA
5001011,378.3392459,NA
5001059,379.1999024,NA
5001358,118.9081312,NA
5001384,377.5557691,NA
5001839,378.1039635,NA
5001853,376.3447456,NA
5002170,286.3558079,NA
5002651,120.7044146,NA
5002869,377.0318051,NA
5003887,117.574931,NA
5004099,320.4369045,NA
5004245,322.1477973,NA
5004398,317.9948088,NA
5004441,120.5432829,NA
5004594,120.7952797,NA
5005378,122.8252047,NA
5006059,120.7952797,NA
5006293,378.3392459,NA
5006372,376.4598303,NA
5006504,376.3447456,NA
5007390,377.5557691,NA
5007405,136.4805859,NA
5007508,377.2231132,NA
5007687,377.5557691,NA
5008461,377.5557691,NA
5008679,378.3392459,NA
5009518,120.7044146,NA
5009520,120.7952797,NA
5010103,378.3392459,NA
5010816,120.7952797,NA
5010878,377.5557691,NA
5010919,377.5557691,NA
5011705,135.5730916,NA
5011913,120.7952797,NA
5011937,377.7920845,NA
5012292,377.5557691,NA
5012462,121.0759697,NA
5012577,378.3392459,NA
5012606,138.6566837,NA
5012632,120.7952797,NA
5012955,119.9597287,NA
